vocabulary;variant_of;meaning;language;about_ethnicity;about_nationality;about_religion;about_gender;about_sexual_orientation;about_disability;about_class;archaic
786;;"Designation for a Muslim or Muslim property.";mya;0;0;1;0;0;0;0;0
969;;"Designation for a Buddhist or Buddhist property.";mya;0;0;1;0;0;0;0;0
abachabu;;"Kisii slur for a member of the Luo ethnic group, meaning 'uncircumcised'.";guz;1;0;0;0;0;0;0;0
abagima;abachabu;"Kisii slur for a member of the Luo ethnic group, meaning 'uncircumcised'.";guz;1;0;0;0;0;0;0;0
abaisia;abachabu;"Kisii slur for a member of the Luo ethnic group, meaning 'uncircumcised'.";guz;1;0;0;0;0;0;0;0
abazungu;umuzungu;"An English person.";kin;1;0;0;0;0;0;0;0
abbo;abo;"Australian Aboriginal person. Originally, this was simply an informal term for Aborigine, and was in fact used by Aboriginal people themselves until it started to be considered offensive in the 1950s. In remoter areas, Aboriginal people still often refer to themselves (quite neutrally) as Blackfellas (and whites as Whitefellas). Although Abo is still considered quite offensive by many, the pejorative boong is now more commonly used when the intent is to deliberately offend, as that word's status as an insult is unequivocal.";eng;1;0;0;0;0;0;0;0
ABC;;"[1] American-born Chinese [2] Australian-born Chinese";eng;1;1;0;0;0;0;0;0
ABCD;;"American-Born Confused Desi, Indian Americans, Pakistani Americans or other South Asians, (desi) who were born in the United States. Used chiefly by South Asian immigrants to imply confusion about cultural identity.";eng;1;0;0;0;0;0;0;0
abd;;"A person of African descent, from the Arabic word for 'slave'";ara;1;0;0;0;0;0;0;0
abeed;;"Arabic slur for a black person, from 'slave'";ara;1;0;0;0;0;0;0;0
abelungu;umlungu;"An English person.";zul;0;0;0;0;0;0;0;0
abid;abeed;"Arabic slur for a black person, from 'slave'";ara;1;0;0;0;0;0;0;0
abo;;"Australian Aboriginal person. Originally, this was simply an informal term for Aborigine, and was in fact used by Aboriginal people themselves until it started to be considered offensive in the 1950s. In remoter areas, Aboriginal people still often refer to themselves (quite neutrally) as Blackfellas (and whites as Whitefellas). Although Abo is still considered quite offensive by many, the pejorative boong is now more commonly used when the intent is to deliberately offend, as that word's status as an insult is unequivocal.";eng;1;0;0;0;0;0;0;0
Adolf;;"A person of German descent, from Adolf Hitler.";deu;0;1;0;0;0;0;0;0
af;;"An African, used by white Rhodesians.";eng;1;0;0;0;0;0;0;0
